"NRA"	"Establecimiento"	"Sector"	"Número SCIAN"	"SCIAN"	"Clave Ambiental"	"Actividad Principal"	"Nombre Parque Industrial"	"Latitud Norte"	"Longitud Oeste"	"Calle"	"Número Exterior"	"Número Interior"	"Entre Calle 1"	"Entre Calle 2"	"Colonia"	"Localidad"	"Municipio"	"Entidad Federativa"	"Código Postal"
"SEM911510611"	"SCHNEIDER ELECTRIC MÉXICO SA. DE CV."	"Equipos y articulos electronicos, electricos y domesticos"	"335999"	"Fabricación de otros productos eléctricos."	"91"	"MANUFACTURA DE EQUIPOS Y APARATOS ELECTRICOS"	"PARQUE INDUSTRIAL TOLUCA 2000"	"19°17'4"""	"99°31'17"""	"4 NORTE"	"101"		"EJE 1 NORTE"	"EJE 6 NORTE"	"PARQUE INDUSTRIAL"	"TOLUCA"	"Toluca"	"MEXICO"	"50200"
"SER5T0901411"	"SERRAL, S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."		"19°23'7"""	"99°10'7"""	"Adolfo Priteto"	"1009"		"Eje 5 Eugenia"	"Eje 6"	"Del Valle"		"Benito Juarez"	"DISTRITO FEDERAL"	"03100"
"SER5T1502511"	"SERRAL, S. A. DE C. V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."	"ZONA INDUSTRIAL"	"19°14'53"""	"98°52'45"""	"CAMINO REAL A COCOTITLAN"	"SN"		"5 DE FEBRERO DE 1917"	"DEL CARMELO"	"ZONA INDUSTRIAL"	"CHALCO DE DÍAZ COVARRUBIAS"	"Chalco"	"MEXICO"	"56600"
"SERTS1000711"	"SERVIMINAS, S.A. DE C.V."	"Otros"	"811312"	"Reparación y mantenimiento de maquinaria y equipo industrial."	"1F"	"REPARACIÓN Y MANTENIMIENTO A EQUIPO MINERO"	"ZONA INDUSTRIAL CUARTA ETAPA"	"25°34'27"""	"103°27'34"""	"LERDO DE TEJADA"	"302"		"CUENCAME"	"ARMANDO DEL CASTILLO FRANCO"	"ZONA INDUSTRIAL"	"GOMEZ PALACIO"	"Gomez Palacio"	"DURANGO"	"35078"
"SCP571503311"	"Smurfit Carton y Papel de México S.A. de C.V. Corrugado Cerro Gordo"	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"Fabricacion de cajas de cartón corrugado"	"SANTA CLARA"	"19°32'6"""	"99°3'39"""	"CARRETERA MEXICO LAREDO"	"kM 15"		"PLASTICOS"	"HIDALGO"	"SANTA CLARA"	"ECATEPEC DE MORELOS"	"Ecatepec de Morelos"	"MEXICO"	"55540"
"SCP571902611"	"SMURFIT CARTON Y PAPEL DE MEXICO S.A. DE C.V. CORRUGADO GUADALUPE"	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"PRODUCCIÓN DE CARTÓN Y CARTONCILLO (SI INVOLUCRA OPERACIONES TÉRMICAS; NO INCLUYE  LA MICR"		"25°41'51"""	"100°10'44"""	"AVENIDA DIA DEL EMPRESARIO"	"951"				"JARDINES DE GUADALUPE"		"Guadalupe"	"NUEVO LEON"	"67116"
"SCP581408311"	"SMURFIT CARTON Y PAPEL DE MEXICO, S.A. DE C.V."	"Celulosa y papel"	"322210"	"Fabricación de envases de cartón."	"58"	"FABRICACION DE ARTICULOS Y DE PRODUCTOS DE PAPEL Y/O CARTON"	"PARQUE INDUSTRIAL TALA"	"20°38'15"""	"103°42'51"""	"CARR.TALA SAN ISIDRO MAZATEPEC KM 1.2"	"NA"		"NA"	"NA"	"NA"	"TALA"	"Tala"	"JALISCO"	"45300"
"SCP581510411"	"Smurfit Cartón y Papel de México S.A. de C.V. Corrugado Atlas"	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"ELABORACION DE CAJAS DE CARTON"	"Tlalnepantla"	"19°30'59"""	"99°12'36"""	"Emiliano Zapata"	"71"		"Francisco I. Madero"	"Pdte. Benito Juárez"	"San Jeronimo Tepetlacalco"	"Tlalnepantla de Baz"	"Tlalnepantla de Baz"	"MEXICO"	"54090"
"SCP682500611"	"SMURFIT CARTON Y PAPEL DE MEXICO S. A. DE C. V."	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"ELABORACIÓN DE CAJAS DE CARTON CORRUGADO Y LÁMINAS DE CARTON"	"PARQUE INDUSTRIAL EL QUEMADITO"	"24°41'30"""	"107°26'33"""	"CARRETERA CULIACÁN - ELDORADO"	"9880 SUR"		"NO APLICA"	"NO APLICA"	"PREDIO CHIRICAHUETO"	"POBLADO EL QUEMADITO"	"Culiacan"	"SINALOA"	"80300"
"SCPLJ1303511"	"SOCIEDAD COOPERATIVA DE PRODUCCIÓN FUNDICIÓN DE APULCO S.C.L."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"7T"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."		"20°18'5"""	"98°20'36"""	"DOMICILIO CONOCIDO FERRERERIA DE APULCO"	"SN"		"PRINCIPAL"	"FERRERIA"	"FERRERÍA"		"Metepec"	"HIDALGO"	"43411"
"SCPN21903912"	"SMURFIT CARTON Y PAPEL DE MEXICO S.A. DE C.V.     MOLINO MONTERREY"	"Celulosa y papel"	"322122"	"Fabricación de papel a partir de pulpa."	"56"	"FABRICACION DE PAPEL KRAFT"		"25°40'50"""	"100°17'48"""	"Carlos Salazar"	"1821"	"Ote."	"Felix Uresti Gómez"	"Agustín Melgar"	"Obrera"		"Monterrey"	"NUEVO LEON"	"64020"
"SDEC11510411"	"SILICATOS Y DERIVADOS S.A. DE C.V."	"Quimica"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos."	"5I"	"FABRICACION Y VENTA DE SILICATO DE SODIO Y POTASIO Y SULFATO DE ALUMINIO"	"PARQUE INDUSTRIAL SAN NICOLAS"	"19°35'39"""	"99°15'49"""	"RIO LERMA"	"55"		"TENAYUCA"	"AYUNTAMIENTO"	"FRACCIONAMIENTO INDUSTRIAL SAN NICOLAS"	"TLALNEPANTLA"	"Tlalnepantla de Baz"	"MEXICO"	"54030"
"SDIHM1304811"	"SISTEMA DIF HIDALGO - HOSPITAL DEL NIÑO DIF"	"Servicios de salud y de asistencia"	"622112"	"Hospitales generales del sector público."	"HM"	"ATENCION MEDICA DE CONSULTA EXTERNA Y HOSPITALIZACION DE III NIVEL"		"20°4'41"""	"98°46'34"""	"CARRETERA MEXICO - PACHUCA KM. 82"	"SN"		"SEPH"	"MUSEO EL REHILETE"	"VENTA PRIETA"	"PACHUCA"	"Pachuca de Soto"	"HIDALGO"	"42080"
"SDM110400311"	"SEA DRAGON DE MEXICO, S DE RL DE CV"	"Otros"	"532411"	"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales."	"B2"	"ARRENDAMIENTOS DE PLATAFORMA DE PERFORACIONES MARINAS"		"25°41'53"""	"95°0'54"""	"31"	"SN"		"60"	"Periferica Norte"	"Petrolera"	"Ciudad del Carmen"	"Carmen"	"CAMPECHE"	"24179"
"SDM911510411"	"SONY DADC MEXICO S.A. DE C.V."	"Articulos y productos compuestos de diferentes materiales"	"339999"	"Otras industrias manufactureras."	"52"	"MANUFACTURA DE DISCOS OPTICOS,AUDIO,MULTIMEDIA,ARTES GRAFICAS Y SU DISTRIBUCION"	"FRACCIONAMIENTO INDUSTRIAL SAN NICOLAS"	"19°33'10"""	"99°12'50"""	"HENRY FORD"	"3"		"ROBERTO FULTON"	"AV. GUSTAVO BAZ"	"FRACCIONAMIENTO INDUSTRIAL SAN NICOLAS"	"EDO. DE MEXICO"	"Tlalnepantla de Baz"	"MEXICO"	"54030"
"SDNHM0901611"	"HOSPITAL CENTRAL MILITAR"	"Servicios de salud y de asistencia"	"622112"	"Hospitales generales del sector público."	"HM"	"HOSPITALIZACION"		"19°26'11"""	"99°12'57"""	"BOULEVARD MANUEL AVILA CAMACHO"	"SIN NUMERO"		"EJERCITO NACIONAL"	"BATALLA DE CELAYA"	"LOMAS DE SOTELO"		"Miguel Hidalgo"	"DISTRITO FEDERAL"	"11200"
"SCMRD2600211"	"SEMPRA COMPRESION MEXICO S. DE R.L. DE C.V."	"Petroleo y petroquimica"	"486210"	"Transporte de gas natural por ductos."	"MI"	"TRANSPORTE DE GAS NATURAL POR DUCTOS"	"TERRENO EJIDAL SIN POBLACION"	"31°15'32"""	"109°55'30"""	"kM 13.2  ENTR. CARR. AGUA PRIETA-CANANEA"	"N.A."	"N.A."	"N.A."	"N.A."	"N.A."	"NACO"	"Naco"	"SONORA"	"84680"
"SCO581307511"	"SERVIKARTON COMERCIALIZADORA S.A. DE C.V."	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"FABRICACIÓN DE CAJAS DE CARTON"		"19°57'0"""	"98°55'0"""	"Cuauhtemoc esq. Iturbide"	"sn"		"Cuahtemoc"	"Iturbide"	"no aplica"	"Tolcayuca"	"Tolcayuca"	"HIDALGO"	"43860"
"SCO5J1505111"	"SENSIENT COLORS, S.A. DE C.V."	"Quimica"	"325130"	"Fabricación de pigmentos y colorantes sintéticos."	"5J"	"MANUFACTURA VENTA Y DISTRIBUCIÓN DE COLORANTES NO NUTRITIVOS PARA ALIMENTOS"	"PARQUE INDUSTRIAL LERMA"	"19°17'54"""	"99°30'49"""	"RODOLFO PATRON"	"12"		"PASEO TOLLOCAN"	"CIRCUITO INDUSTRIA SUR"	"PARQUE INDUSTRIAL LERMA"	"LERMA"	"Lerma"	"MEXICO"	"52000"
"SCOKE1403911"	"SERVICIO COUNTRY, S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"COMPRA VENTA DE AUTOS Y MANTENIMIENTO AUTOMOTRIZ"		"22°42'30"""	"103°22'58"""	"AV. AMERICAS"	"116"		"RIO DE JANEIRO"	"RIO TIRRENO"	"COUTRY CLUB"	"GUADALAJARA"	"Zapopan"	"JALISCO"	"44620"
"SCOKE2201111"	"SCANIA COMERCIAL S.A DE C.V"	"Automotriz"	"336110"	"Fabricación de automóviles y camionetas."	"9G"	"PRODUCCION DE AUTOMOVILES Y CAMIONES INCLUYE TRACTOCAMIONES Y SIMILARES, Y EL MANTENIMIENT"	"PARQUE INDUSTRIAL EL MARQUES"	"20°34'44"""	"100°15'47"""	"CIRCUITO EL MARQUES NORTE"	"12"		"CIRCUITO EL MARQUES SUR"	"CIRCUITO EL MARQUES NORTE"	"EL MARQUES"	"EL MARQUES"	"El Marques"	"QUERETARO"	"76246"
"SCOTS2201421"	"SERVICIOS CONDUMEX, S.A. DE C.V."	"Otros"	"541380"	"Laboratorios de pruebas."	"TS"	"asesoria administrativa y técnica incluye pruebas"	"Parque industrial Jurica"	"20°39'7"""	"100°25'52"""	"Carr. Constitución a SLP km 9.6"	"km 9.6"		"Acceso B"	"Acceso C"	"Parque industrial Jurica"	"Querétaro"	"Queretaro"	"QUERETARO"	"76127"
"SCP371412011"	"Philip Morris Cigatam Productos y Servicios, S. de R.L. de C.V."	"Bebidas y tabaco"	"312221"	"Elaboración de cigarros."	"37"	"Fabricación de Cigarros"		"20°38'41"""	"103°25'3"""	"Av. Amado Nervo"	"1201"		"Av. El Colli"	"Av. Moctezuma"	"Ciudad del Sol"	"Zapopan"	"Zapopan"	"JALISCO"	"45050"
"SCP561503311"	"SMURFIT CARTON Y PAPEL DE MEXICO, S.A. DE C.V."	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"FABRICACION DE CARTON Y CARTONCILLO PARA CAJAS CORRUGADAS Y PLEGADIZAS"		"19°28'0"""	"99°14'0"""	"HIDALGO"	"91"		"VIA MORELOS"	"SANTA CLARA"	"SANTA CLARA"	"ECATEPEC"	"Ecatepec de Morelos"	"MEXICO"	"55540"
"SCP561503312"	"Smurfit Cartón y Papel de México S.A. de C.V. Plegadizos Naucalpan"	"Celulosa y papel"	"322210"	"Fabricación de envases de cartón."	"58"	"Elaboracion de Empaques Plegadizos"		"19°27'50"""	"99°12'50"""	"Av. 16 de Septiembre"	"25"		"Calz. Santiago Ahuizotla"	"Cda. 16 de Septiembre"	"El Prieto"	"Naucalpan"	"Naucalpan de Juarez"	"MEXICO"	"53370"
"SCP561510411"	"Smurfit Cartón y Papel de México S.A. de C.V.   División Molino Los Reyes"	"Celulosa y papel"	"322122"	"Fabricación de papel a partir de pulpa."	"56"	"PRODUCCIÓN DE PAPEL."	"Zona Industrial Los Reyes Iztacala"	"19°31'46"""	"99°11'50"""	"AV. Presidente Juárez"	"2030"		"Avenida Los Reyes"	"Callejón Tejabanes"	"Los Reyes"	"Tlalnepantla"	"Tlalnepantla de Baz"	"MEXICO"	"54090"
"SCP561510412"	"Smurfit Cartón y Papel de México S.A. de C.V. Corrugado Los Reyes"	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"Fabricación de Empaques Corrugados"	"Los Reyes Iztacala"	"19°31'45"""	"99°12'40"""	"Presidente Juarez"	"2030"		"Los Reyes"	"Av. Gustavo Baz"	"Los Reyes Iztacala"	"Tlalnepantla de Baz"	"Tlalnepantla de Baz"	"MEXICO"	"54090"
"SCP570803711"	"SMURFIT CARTON Y PAPEL DE MEXICO, S.A. DE C.V."	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"PRODUCCIÓN DE CARTÓN Y CARTONCILLO (SI INVOLUCRA OPERACIONES TÉRMICAS; NO INCLUYE  LA MICR"	"PARQUE INDUSTRIAL BERMUDEZ"	"31°43'3"""	"106°26'30"""	"FULTON"	"925"		"KELVIN"	"JARDIN"	"PARQUE INDUSTRIAL BERMUDEZ"	"CIUDAD JUAREZ"	"Juarez"	"CHIHUAHUA"	"32470"
"SBI9L2402811"	"SUMINISTROS BASICOS INDUSTRIALES S. A. DE C. V."	"Automotriz"	"336340"	"Fabricación de partes de sistemas de frenos para vehículos automotrices."	"9L"	"RECONSTRUCCION DE PARTES PARA FRENOS AUTOMOTRICES"		"22°10'7"""	"100°58'22"""	"AV. GUANOS"	"625"	"NA"	"PRIV. ARBOLITOS"	"PROL. 20 DE NOVIEMBRE"	"GUANOS"	"SAN LUIS POTOSI"	"San Luis Potosi"	"SAN LUIS POTOSI"	"78030"
"SCATN1503921"	"Servicio Castellana, S.A. de C.V."	"Otros"	"468411"	"Comercio al por menor de gasolina y diesel."	"TN"	"Compra y venta de gasolinas, aceite lubricante y aditivos."		"19°20'34"""	"98°51'48"""	"Av. Morelos"	"11"		"NA"	"NA"	"San Francisco Acuautla"	"Ixtapaluca"	"Ixtapaluca"	"MEXICO"	"03020"
"SCC461100711"	"SCREEN CREATIONS DE CELAYA S. DE R.L DE C.V"	"Textiles, fibras e hilos"	"313310"	"Acabado de productos textiles."	"1A"	"SERIGRAFIA Y ESTAMPADO TEXTIL"	"CARR. CELAYA- SALVATIERRA KM. 6.5"	"20°25'0"""	"100°50'0"""	"NA"	"SN"	"SN"	"NA"	"NA"	"NA"	"SANTA MARIA DEL REFUGIO"	"Celaya"	"GUANAJUATO"	"38140"
"SCC952803211"	"SEMTECH CORPUS CHRISTI S.A. DE C.V."	"Articulos y productos metalicos"	"332710"	"Maquinado de piezas metálicas para maquinaria y equipo en general."	"8L"	"ENSAMBLE DE SEMICONDUCTORES (DIODOS CAPACITORES CUSTOMS)"	"PARQUE INDUSTRIAL REYNOSA"	"26°0'21"""	"98°13'40"""	"CARRETERA A MATAMOROS Y BRECHA E99"	"Edif. 7"		"NA"	"NA"	"PARQUE INDUSTRIAL REYNOSA"		"Reynosa"	"TAMAULIPAS"	"88780"
"SCI9X0801911"	"SOFI DE CHIHUAHUA S.A. DE C.V."	"Articulos y productos plasticos"	"339113"	"Fabricación de artículos oftálmicos."	"6E"	"FABRICACION DE LENTES DE PLASTICO DE PRESCRIPCION MEDICA"	"COMPLEJO INDUSTRIAL  LAS AMERICAS"	"28°36'56"""	"106°7'34"""	"GEORGE WASHINTONG"	"3701"	"10 11 12"	"AV. LA CANTERA"	"PERIF. DE LA JUVENTUD"	"COMPLEJO INDUSTRIAL AMERICAS"	"CHIHUAHUA"	"Chihuahua"	"CHIHUAHUA"	"31114"
"SCJ631510612"	"SC Johnson and Son S.A. de C.V."	"Quimica"	"325610"	"Fabricación de jabones, limpiadores y dentífricos."	"63"	"PRODUCCIÓN DE LIMPIADORES Y PULIMENTOS (SÓLO SI SE PRODUCEN LAS SUBSTANCIAS BÁSICAS; NO IN"	"Exportec II"	"19°20'11"""	"99°34'45"""	"Boulevard Miguel Aleman"	"4535"		"Manuel Orózco"	"Calle sin nombre"	"Sn. Mateo Otzacatipan"	"Toluca"	"Toluca"	"MEXICO"	"50200"
"SCM572201411"	"STONE CONTAINER DE MÉXICO S. DE R.L. DE C.V."	"Celulosa y papel"	"322132"	"Fabricación de cartón y cartoncillo a partir de pulpa."	"57"	"FABRICACIÓN DE EMPAQUE DE CARTÓN CORRUGADO"	"SAN PABLO ZONA INDUSTRIAL"	"20°36'32"""	"100°25'14"""	"AV. 5 DE FEBRERO"	"1311A"				"SAN PABLO"	"QUERETARO"	"Queretaro"	"QUERETARO"	"76130"
"SCM6E2201411"	"SHAPE CORP MEXICO S. DE R.L. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"FABRICACION DE PARTES PARA VEHICULOS AUTOMOTRICES"	"PARQUE INDUSTRIAL QUERETARO"	"20°49'55"""	"100°25'15"""	"AV. LA ESTACADA"	"312"		"MANUFACTURA"	"INDUSTRIA DE LA CONSTRUCCION"	"PARQUE INDUSTRIAL QUERETARO"	"SANTA ROSA JAUREGUI"	"Queretaro"	"QUERETARO"	"76220"
"SCM6Q2802211"	"Summit Componentes de Mexico S,A de C.V"	"Articulos y productos plasticos"	"326192"	"Fabricación de autopartes de plástico con y sin reforzamiento."	"6E"	"Maquiladora de Componentes de Plastico para la Industria Automotriz"	"Parque Industrial del Norte"	"25°52'48"""	"97°33'36"""	"Avenida Progreso"	"Sin numero"		"Avenida del Obrero"	"Maquiladora Productos Electricos Univers"	"Parque Industrial del Norte"		"Matamoros"	"TAMAULIPAS"	"87316"
"SCM910803711"	"SPECTRUM CONTROL DE MEXICO, S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"334410"	"Fabricación de componentes electrónicos."	"91"	"ENSAMBLES DE FILTROS ELECTRONICOS"		"31°39'34"""	"106°27'21"""	"BLVD. ZARAGOZA"	"2910"		"TRINIDAD MIRELES"	"BLVD. ZARAGOZA"	"PRIMERO DE MAYO"	"CD. JUAREZ"	"Juarez"	"CHIHUAHUA"	"32670"
"SCMMB2111411"	"SUD CHEMIE DE MEXICO SA. DE CV"	"Quimica"	"325999"	"Fabricación de otros productos químicos."	"MB"	"PRODUCCIÓN DE SUSTANCIAS QUÍMICAS CUANDO EXISTE REACCIÓN QUÍMICA (EXCLUYE MEZCLAS SIN REAC"	"SIN NOMBRE"	"19°5'56"""	"98°12'26"""	"KM. 7 CARRETERA PUEBLA TLAXCALA"	"SN"		"PALOS"	"IGNACIO MARISCAL"	"SAN PABLO XOCHIMEHUACAN"	"PUEBLA"	"Puebla"	"PUEBLA"	"72014"
"SAM9K1902111"	"SISTEMAS AUTOMOTRICES DE MEXICO SA DE CV"	"Automotriz"	"336330"	"Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices."	"9K"	"PRODUCCIÓN DE PARTES PARA EL SISTEMA DE SUSPENSIÓN Y DIRECCIÓN (SI INCLUYE PROCESOS TÉRMIC"	"ZONA INDUSTRIAL"	"25°48'46"""	"100°17'52"""	"CARR. MONTERREY COLOMBIA KM 6"	"NA"		"NA"	"NA"	"NA"	"GRAL ESCOBEDO"	"Gral.  Escobedo"	"NUEVO LEON"	"66050"
"SAMLJ0101111"	"Victor Santos Martinez"	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"7T"	"FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES ME"	"Centro Despoblado"	"21°59'5"""	"102°14'45"""	"Carr.Aguascalientes-Villa Juarez Km-6"	"NA"	"SN"	"NA"	"NA"	"Macario J.Gomez"	"San Fco. de los Romo"	"Aguascalientes"	"AGUASCALIENTES"	"20300"
"SAN1P1903911"	"SIGMA ALIMENTOS NORESTE, S.A. DE C.V."	"Alimenticio y/o de consumo humano"	"311613"	"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles."	"1P"	"ELABORACIÓN DE EMBUTIDOS"		"25°39'38"""	"100°18'7"""	"AV. JESUS CANTÚ LEAL"	"1320"		"JOSE ALVARADO"	"DEL ESTADIO"	"BUENOS AIRES"	"MONTERREY"	"Monterrey"	"NUEVO LEON"	"64800"
"SAN5Y0900511"	"SANCHEZ, S.A. DE C.V. PLANTA SAN JUAN"	"Pinturas y tintas"	"325910"	"Fabricación de tintas para impresión."	"5Y"	"PRODUCCIÓN DE TINTAS PARA IMPRESIÓN Y ESCRITURA."		"19°28'28"""	"99°6'16"""	"SAN JUAN"	"654"		"ORIENTE 171"	"AVENIDA TALISMAN"	"SAN JUAN DE ARAGON AMPLIACION"		"Gustavo A. Madero"	"DISTRITO FEDERAL"	"07470"
"SAN5Y0900512"	"SANCHEZ, S.A DE C.V. PLANTA TALISMAN"	"Pinturas y tintas"	"325910"	"Fabricación de tintas para impresión."	"5Y"	"PRODUCCIÓN DE TINTAS PARA IMPRESIÓN Y ESCRITURA."		"19°18'24"""	"99°6'22"""	"AVENIDA TALISMAN"	"306"		"SAN JUAN"	"CONGRESO DE LA UNION"	"SAN JUAN DE ARAGON AMPLIACION"		"Gustavo A. Madero"	"DISTRITO FEDERAL"	"07470"
"SANKE2604313"	"SONORA AUTOMOTRIZ DE NOGALES S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"TALLER DE SERVICIO AUTOMOTRIZ"		"31°17'13"""	"110°56'12"""	"AVE. OBREGON"	"2730"		"AVELARDO RODRIGUEZ"	"FLORES GUERRA"	"EL GRECO"	"NOGALES"	"Nogales"	"SONORA"	"84000"
"SAP1102002022"	"Sistema de Agua Potable y Alcantarilado de León"	"Otros"	"222111"	"Captación, tratamiento y suministro de agua realizados por el sector público."	"S7"	"Tratamiento de agua residual doméstica"	"Periferia de León"	"21°9'5"""	"101°44'15"""	"Salamina"	"402"		"NA"	"NA"	"Lomas del Mirador"		"Leon"	"GUANAJUATO"	"37358"
"SAPS51102014"	"Sistema de Agua Potable y Alcantarillado de León"	"Otros"	"222111"	"Captación, tratamiento y suministro de agua realizados por el sector público."	"S5"	"Tratamiento de agua residual doméstica"	"Periferi de León"	"21°7'24"""	"101°44'18"""	"Convive"	"s n"		"NA"	"NA"	"Las Joyas"		"Leon"	"GUANAJUATO"	"37539"
"SAPS71102012"	"Sistema de Agua Potable y Alcantarillado de León"	"Otros"	"222111"	"Captación, tratamiento y suministro de agua realizados por el sector público."	"S7"	"Tratamiento de agua residual doméstica"	"Periferia de León"	"21°5'17"""	"101°35'44"""	"Camino a Rancho Alegre"	"110"	"V SNJ"	"NA"	"NA"	"Villas de San Juan"		"Leon"	"GUANAJUATO"	"37299"
"SAUEE3105011"	"SENA AUTOMOTRIZ, S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"EE"	"COMPRA VENTA DE AUTOS Y CAMIONES NUEVOS Y SEMINUEVOS REFACIONES Y ACCESORIOS PARA AUTOS"	"VIALIDAD CON USOS MIXTO DE COMERCIO, SERVICIOS Y VIVIENDA"	"20°59'55"""	"89°36'30"""	"31"	"136"		"34"	"36"	"MEXICO"	"MERIDA"	"Merida"	"YUCATAN"	"97125"
"SAUKE2300511"	"SENA AUTOMOTRIZ, S.A. DE C.V.      SUC. CANCUN"	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"COMPRA VENTA DE AUTOS NUEVOS, REFACCIONES Y SERVICIOS DE TALLER"	"CARRETERA FEDERAL CANCUN-TULUM"	"21°6'31"""	"86°50'24"""	"SUPERMANZANA 310 BLVD . L.D.C.  S/N"	"5"	"2"	"NA"	"NA"	"SUPERMANZANA 310"	"CANCUN"	"Benito Juarez"	"QUINTANA ROO"	"77560"
"SBA5H1102711"	"Sales del Bajío S.A. de C.V."	"Quimica"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos."	"5I"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES ORGÁNICAS."	"Km 306 3 Carretera Panamericana"	"20°32'23"""	"101°6'20"""	"Carretera Panamerica Celaya a Salamanca"	"km 306.3"		"NA"	"NA"			"Salamanca"	"GUANAJUATO"	"36700"
"SAC2D1901811"	"SOLUCIONES AMBIENTALES CARRIAGA SA DE CV"	"Tratamiento de residuos peligrosos"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos."	"LU"	"MANEJO DE RESIDUOS PELIGROSOS"	"PARQUE INDUSTRIAL MITRAS"	"25°47'25"""	"100°27'11"""	"HUMBERTO LOBO"	"8110"		"COBRE"	"HUMBERTO LOBO"	"SC"	"GARCIA"	"Garcia"	"NUEVO LEON"	"66000"
"SAC7T0500611"	"ING. HECTOR MARCELO SANCHEZ CANTU"	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"7T"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO GRIS Y BRONCE"	"SEMIURBANO"	"26°48'32"""	"101°25'13"""	"BLVD. GUSTAVO GALAZ"	"KM. 178"		"SIN NOMBRE"	"LINARES"	"CALIFORNIA"	"CASTAÑOS"	"Castanos"	"COAHUILA"	"25870"
"SAG5P2402811"	"SYNGENTA AGRO SA DE CV"	"Quimica"	"325320"	"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes."	"5P"	"PRODUCCIÓN DE PLAGUICIDAS Y OTROS QUÍMICOS AGRÍCOLAS (INCLUYE PRODUCTOS ORGÁNICOS E INORGÁ"	"ZONA INDUSTRIAL DEL POTOSI"	"22°4'27"""	"100°52'47"""	"EJE 130"	"125"		"AV. INDUSTRIAS"	"AV. COMISION FEDERAL DE ELECTRITIDAD"	"ZONA INDUSTRIAL DEL POTOSI"	"SAN LUIS POTOSI"	"San Luis Potosi"	"SAN LUIS POTOSI"	"78090"
"SAI5M1510911"	"SINTESIS Y APLICACIONES INDUSTRIALES, S.A. DE C.V."	"Quimica"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos."	"5M"	"PRODUCCIÓN DE MATERIAS PRIMAS PARA MEDICAMENTOS."	"CARTAGENA"	"19°38'28"""	"99°9'58"""	"BOULEVAR TULTITLAN ORIENTE"	"4"		"SABINO"	"BOULEVAR TULTITLAN ORIENTE"	"BARRIO DE SANTAGUITO"		"Tultitlan"	"MEXICO"	"54900"
"SAIUB1903911"	"Sistema Ambiental Industrial S.A. de C.V."	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"Tratamiento de aguas residuales proveniente de un grupo industrial."		"25°41'41"""	"100°18'41"""	"Av. General Pedro Ma Anaya Pte"	"161"		"Av. Alfonso Reyes"	"Prol. Benito Juarez"	"DEL PRADO"		"Monterrey"	"NUEVO LEON"	"64450"
