"NRA"	"Nombre"	"Sector"	"Actividad principal SEMARNAT"	"Actividad principal"	"Coordenada UTM X"	"Coordenada UTM Y"	"Latitud Norte"	"Longitud Oeste"	"Estado"	"Delegación\Municipio"	"Calle"	"No. Exterior"	"No. Interior"	"Entre calle 1"	"Entre calle 2"	"Colonia"	"Localidad"	"Parque o puerto industrial"	"Código postal"
"CEH362111411"	"CIA. EMBOTELLADORA HERDOMO S.A. DE C.V."	"Bebidas y tabaco"	"Produccion de refrescos"	"ELBORACION DE BEBIDAS GASEOSAS NO ALCOHOLICAS"	0	0	"19°3'16"""	"0.98°9'28"""	"PUEBLA"	"Puebla"	"CAMINO A RESURRECCION"	5425		"CAMINO A RESURRECCION"	"CARRETERA FEDERAL A VERACRUZ"	"Parque Industrial Puebla 2000"	"PUEBLA"	"PARQUE INDUSTRIAL PUEBLA 2000"	72920
"CEM521407011"	"CROWN ENVASES MEXICO S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Produccion de articulos de metales no ferrosos"	"FABRICACION DE ENVASES DE ALUMINIO"	0	0	"20°31'0"""	"103°10'0"""	"JALISCO"	"El Salto"	"KM 1.5 CARR. A SAN MARTIN DE LAS FLORES"	"SIN NUMERO"		"NA"	"NA"	"NA"	"EL SALTO"	"CORREDOR INDUSTRIAL EL SALTO"	45680
"CEN921903911"	"COMPONENTES ELECTRICOS DEL NORTE S DE R.L. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de focos y tubos de iluminacion"	"FABRICACION DE FILAMENTOS"	0	0	"25°42'24.56"""	"100°16'9.94"""	"NUEVO LEON"	"Monterrey"	"ANDES"	625				"PARQUE INDUSTRIAL BENITO JUAREZ"		"PARQUE INDUSTRIAL BENITO JUAREZ"	64517
"CEN9M0900211"	"LA CUNA ENCANTADA S.A DE C.V."	"Metalurgica (incluye la siderurgica) "	"Fundicion y moldeo de piezas de metales no ferrosos"	"FABRICACION DE MUEBLES INFANTILES PRODUCTOS AUTOMOTRICES RESORTES DE TAPICERIA Y DE PRECIS"	0	0	19.5843	-99.2608	"DISTRITO FEDERAL"	"Azcapotzalco"	"PONIENTE 150"	800		"NORTE 59"	"NORTE 65"	"INDUSTRIAL VALLEJO"		"INDUSTRIAL VALLEJO"	2300
"CEQMB2111411"	"CIBA ESPECIALIDADES QUIMICAS MEXICO S.A. DE C.V."	"Quimica"	"Produccion de substancias quimicas a partir de mezclas"	"PRODUCCIÓN DE SUSTANCIAS QUÍMICAS CUANDO EXISTE REACCIÓN QUÍMICA (EXCLUYE MEZCLAS SIN REAC"	0	0	"19°6'24"""	"98°13'53"""	"PUEBLA"	"Puebla"	"CARRETERA DE LAS FABRICAS"	5000				"GUADALUPE CALERAS"	"PUEBLA"	"ZONA INDUSTRIAL NORTE"	72100
"CESEA0900211"	"CARTONAJES ESTRELLA S.A. DE C.V."	"Celulosa y papel"	"Produccion de carton y cartoncillo"	"Fabricación de Cartón y Cartoncillo"	0	0	"19°29'8"""	"-99°9'10"""	"DISTRITO FEDERAL"	"Azcapotzalco"	"PONIENTE 122"	430		"NORTE 35"	"CALZADA VALLEJO"	"INDUSTRIAL VALLEJO"		"ZONA INDUSTRIAL VALLEJO"	2300
"CESEA1306911"	"CARTONAJES ESTRELLA S.A DE C.V PLANTA TIZAYUCA"	"Celulosa y papel"	"Produccion de carton y cartoncillo"	"PRODUCCIÓN DE CARTÓN Y CARTONCILLO (SI INVOLUCRA OPERACIONES TÉRMICAS; NO INCLUYE LA MICR"	0	0	"19°51'9"""	"-98°57'21"""	"HIDALGO"	"Tizayuca"	"CAMINO TIZAYUCA TEZONTEPEC"	5		"CAMINO TIZAYUCA TEZONTEPEC"	"CAMINO A EL CHOPO"	"EL CHOPO"	"TIZAYUCA"		55700
"CFE0502211"	"CFE C.T. CARBON II"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"28°27'42"""	"100°42'10"""	"COAHUILA"	"Nava"	"CARR. 57 KM 31.5 TRAMO P. NEG. MONCLOV0"	"N.A."				"N.A."	"NAVA"		26170
"CFE240501111"	"Comisión Federal de Electricidad Central Termoeléctrica Villa de Reyes"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELECTRICA INCLUYE LAS INSTALACIONES"	2109.91	698.041	"21°50'0"""	"100°55'12"""	"SAN LUIS POTOSI"	"Villa de Reyes"	"Km. 19.5 Carretera a Villa de Reyes"	"N.A."					"VILLA DE REYES"	"MUNICIPIO VILLA DE REYES"	79500
"CFE260181111"	"COMISION FEDERAL DE ELECTRICIDAD TURBOGAS OBREGON"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	0	0	"27°29'9"""	"0.109°58'25"""	"SONORA"	"Cajeme"	"AVENIDA KINO"	"SN"				"VILLA ITSON"	"CIUDAD OBREGON"		85130
"CFE671206811"	"COMISION FEDERAL DE ELECTRICIDAD"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"	0	0	17.98391	-102.11246	"GUERRERO"	"La Union de Isidoro Montes de Oca"	"CARR LÁZARO CÁRDENAS ZIHUATANEJO KM 28.5"	"NA"	"NA"	"NO APLICA"	"NO APLICA"	"NA"	"PETACALCO"		40811
"CFEAD0300111"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL DIESEL GRAL. AGUSTIN OLACHEA AVILES"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	0	0	"24°48'54"""	"112°05'25"""	"BAJA CALIFORNIA SUR"	"Comondu"	"CARRETERA A SAN CARLOS KM 52"	"SN"				"UNICA"		"PUERTO SAN CARLOS B C SUR"	23000
"CFEAD0300211"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL DIESEL ELECTRICA SANTA ROSALIA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"27°21'10"""	"112°16'16"""	"BAJA CALIFORNIA SUR"	"Mulege"	"KM 1.5 CARRETERA TRANSPENINSULAR"	"SN"				"EL RETIRO"	"SANTA ROSALIA"	"CENTRAL DIESEL ELECTRICA SANTA ROSALIA"	23920
"CFEAD0300212"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL DIESEL ELECTRICA GUERRERO NEGRO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"27°58'19"""	"114°1'56"""	"BAJA CALIFORNIA SUR"	"Mulege"	"DIVISION DEL NORTE"	"SN"				"MARCELO RUBIO RUIZ"	"GUERRERO NEGRO"	"CDE GUERRERO NEGRO"	23940
"CFEAD0300213"	"COMISION FEDERAL DE ELECTRICIDAD CCI GUERRERO NEGRO II"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"27°38'28"""	"113°24'46"""	"BAJA CALIFORNIA SUR"	"Mulege"	"CARRETERA A BAHIA TORTUGAS KM 2.5"	"SN"					"VIZC AINO"	"CCI GUERRERO NEGRO II"	23935
"CFEAD0300811"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TURBOGAS LOS CABOS"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"22°5'15"""	"110°1'14"""	"BAJA CALIFORNIA SUR"	"Los Cabos"	"CARRETERA A TODOS SANTOS KM 114"	"SN"					"CABO SAN LUCAS"	"CENTRAL TURBOGAS LOS CABOS"	23910
"CFEAD0400211"	"COMISION FEDERAL DE ELECTRICIDAD C. T. LERMA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"	3189817	2523219	"19°48'11"""	"90°36'58"""	"CAMPECHE"	"Campeche"	"KM 10 CARRETERA CAMPECHE CHAMPOTON"	"NA"				"LERMA"	"LERMA"	"LERMA CAMPECHE"	24500
"CFEAD0500911"	"COMISION FEDERAL DE ELECTRICIDAD. C.TG. LAGUNA CHAVEZ FCO. I. MADERO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"24°43'20"""	"103°16'45"""	"COAHUILA"	"Francisco I. Madero"	"NA"	"NA"				"NA"	"FRANCISCO I MADERO"	"CARR LIBRAMIENTO FINISTERRE Y CARR KM 5 FCO I MADERO"	35070
"CFEAD0501811"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TURBOGAS MONCLOVA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	2057183	1255877	"26°52'30"""	"101°25'40"""	"COAHUILA"	"Monclova"	"CARRETERA 57"	"KM 1041"				"OBRERA SUR"	"MONCLOVA"		25790
"CFEAD0502011"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TURBOGAS ESPERANZAS"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"27°42'25"""	"101°19'45"""	"COAHUILA"	"Muzquiz"	"CARRETERA EL SAUZ PALAU KM 26.5"	"KM 26.5"					"LAS ESPERANZAS"	"CARRETERA"	26230
"CFEAD0502211"	"CENTRAL TERMOELECTRICA JOSE LOPEZ PORTILLO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGIA ELECTRICA"	2132412	1446802	"28°28'0"""	"100°41'0"""	"COAHUILA"	"Nava"	"CARRETERA FED. 57 KM 27.5 TRAMO P.N.-MON"	"N.A."	"N.A."			"N.A."	"NAVA"	"NA"	26530
"CFEAD0600711"	"COMISIÓN FEDERAL DE ELECTRICIDAD, CENTRAL TERMOELECTRICA MANZANILLO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"	0	0	"19°1'36"""	"104°19'14"""	"COLIMA"	"Manzanillo"	"DOMICILIO CONOCIDO"	"NA"	"SN"	"CARRETERA MANZANILLO"	"CAMPOS"	"EJIDO DE CAMPOS"	"MANZANILLO"	"MANZANILLO"	28809
"CFEAD0803711"	"COMISION FEDERAL DE ELECTRICIDAD C.T. SAMALAYUCA I"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"31°19'45"""	"106°20'11"""	"CHIHUAHUA"	"Juarez"	"NA"	"NA"		"NA"	"NA"	"NA"	"SAMALAYUCA"	"CARR PANAMERICANA SUECO CD JUAREZ KM 166"	32730
"CFEAD1000712"	"COMISION FEDERAL DE ELECTRICIDAD C.T. LA LAGUNA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"25°32'57"""	"-103°28'25"""	"DURANGO"	"Gomez Palacio"	"BLVD. MIGUEL ALEMAN Y C. DEL GUADIANA"	101		"CALLE GUANACEVI"	"C. DEL GUADIANA"	"NA"	"GOMEZ PALACIO"	"PARQUE INDUSTRIAL LAGUNERO"	35070
"CFEAD1000713"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL CICLO COMBINADO GOMEZ PALACIO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	25.59342	-103.47525	"DURANGO"	"Gomez Palacio"	"CARR. A FCO. I. MADERO KM 3"	"km. 3"				"NA"	"GOMEZ PALACIO"		35000
"CFEAD1000714"	"COMISION FEDERAL DE ELECTRICIDAD C.TG. LAGUNA CHAVEZ"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	25.55158	-103.47283	"DURANGO"	"Durango"	"VALLE DEL GUADIANA No. 101"	101		"BOULEV. MIGUEL ALEMAN"	"CUATROCIENEGAS"	"NA"	"GOMEZ PALACIO"	"PARQUE INDUSTRIAL LAGUNERO"	35000
"CFEAD1001211"	"COMISION FEDERAL DE ELECTRICIDAD C.T. GUADALUPE VICTORIA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	25.49329	-103.57161	"DURANGO"	"Durango"	"CARR. CD. JUAREZ DGO. KM. 9.7"	"NA"		"NA"	"NA"	"NA"	"CD JUAREZ"		35180
"CFEAD1102711"	"CENTRAL TERMOELÉCTRICA SALAMANCA . COMISIÓN FEDERAL DE ELECTRICIDAD."	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"20°34'0"""	"101°10'17"""	"GUANAJUATO"	"Salamanca"	"PROL. AVENIDA FAJA DE ORO"	"SIN NUMERO"		"NO APLICA"	"NO APLICA"	"NO APLICA"	"SALAMANCA"		36750
"CFEAD1301011"	"COMISION FEDERAL DE ELECTRICIDAD C. T. FRANCISCO PEREZ RIOS TULA HIDALGO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN"	2285751	504696	"20°4'0"""	"99°17'0"""	"HIDALGO"	"Tula de Allende"	"CARRETERA JOROBAS-TULA KM 27.7"	"NA"	"NA"			"NA"	"SEGUNDA SECCION DEL LLANO"	"CORREDOR INDUSTRIAL TULA VITO APASCO"	42800
"CFEAD1500211"	"Central termoelectrica Valle de Mexico COMISION FEDERAL DE ELECTRICIDAD"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	0	0	"19°37'0"""	"98°58'51"""	"MEXICO"	"Acolman"	"Carretera Transmetropolitana Km 38"	"NA"		"NA"	"NA"	"Guadalupe Victoria"	"San Bernardino Tepexpan"		55885
"CFEAD1801712"	"COMISION FEDERAL DE ELECTRICIDAD C.H. JUMATÁN"	"Generacion de energia electrica "	"Generacion de energia electrica por procedimientos no convencionales contaminantes"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA"	0	0	"21°31'50"""	"104°57'15"""	"NAYARIT"	"Tepic"	"CONOCIDO"	"NA"				"NA"	"JUMATAN"	"PREDIO DE CFE"	0
"CFEAD1801713"	"COMISON FEDERAL DE ELECTRICIDAD C.H. AGUAMILPA SOLIDARIDAD"	"Generacion de energia electrica "	"Generacion de energia electrica por procedimientos no convencionales contaminantes"	"GENERACION DE ENERGIA ELECTRICA"	0	0	"21°50'32"""	"104°46'29"""	"NAYARIT"	"Del Nayar"	"PREDIO DE LA CFE"	"NA"	"NA"			"NA"	"EL COLORIN"	"ALMACEN TEMPORAL DE RESIDUOS PELIGROSOS DE LA CENTRAL"	0
"CFEAD1901911"	"C.F.E. CENTRAL TURBOGAS LEONA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	2161872	1121987	"25°40'34.70"""	"100°24'22.68"""	"NUEVO LEON"	"San Pedro Garza Garcia"	"LUCIO BLANCO"	"S/N"				"LUCIO BLANCO"	"SAN PEDRO GARZA GARCIA"		66218
"CFEAD1903922"	"C.F.E. CENTRAL TURBOGAS TECNOLOGICO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"25°36'47.67"""	"100°16'19.16"""	"NUEVO LEON"	"Monterrey"	"AVENIDA EUGENIO GARZA SADA"	5300				"MEDEROS"	"MONTERREY"		64950
"CFEAD1903923"	"C.F.E. CENTRAL TURBOGAS FUNDIDORA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	2172048	1125028	"25°40'57.84"""	"100°16'39.12"""	"NUEVO LEON"	"Monterrey"	"ANTONIO I. VILLARREAL"	110		"PROLONGACION MADERO"		"AGRICOLA"	"MONTERREY"		64590
"CFEAD1903924"	"C.F.E. CENTRAL TURBOGAS UNIVERSIDAD"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	2167946	1126897	"25°41'53.02"""	"100°19'9.24"""	"NUEVO LEON"	"Monterrey"	"PROLONGACION RAYON"	"2451 NORTE"		"LUCAS ALAMAN"	"ANASTACIO BUSTAMAMENTE"	"BELLA VISTA"	"MONTERREY"		64410
"CFEAD1904111"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL CICLO COMBINADO HUINALA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"25º43'11.59"""	"100º6'5.51"""	"NUEVO LEON"	"Pesqueria"	"N.A."	"KM 12.5"					"PESQUERIA"	"CARRETERA A DULCES NOMBRES KILOMETRO DOCE Y MEDIO"	66650
"CFEAD1904611"	"CFE C.T. MONTERREY"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA"	0	0	"25°44'11"""	"-100°14'21"""	"NUEVO LEON"	"San Nicolas de los Garza"	"ANTIGUA CARRETERA A ROMA KM. 6.5"	"KM.6.5"				"SIN COLONIA"	"SAN NICOLAS DE LOS GARZA"		66440
"CFEAD2104111"	"COMISIÓN FEDERAL DE ELECTRICIDAD"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"19°7'15"""	"98°14'30"""	"PUEBLA"	"Cuautlancingo"	"CAMINO A SAN LORENZO ALMECATLA"	"SN"	"SN"				"AUT MEXICO PUEBLA KM 117"	"PARQUE INDUSTRIAL FINSA"	72700
"CFEAD2300111"	"COMISION FEDERAL DE ELETRICIDAD.CENTRAL TURBOGAS CHANKANAAB"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"20°28'27"""	"86°57'25"""	"QUINTANA ROO"	"Cozumel"	"LEONIDES GARCIA"	"NA"		"10 DE ABRIL"	"NA"	"NA"	"COZUMEL"	"ZONA INDUSTRIAL DE COZUMEL"	77600
"CFEAD2300411"	"COMISION FEDERAL DE ELETRICIDAD.CENTRAL TURBOGAS XULHA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	0	0	"18°32'39"""	"88°27'55"""	"QUINTANA ROO"	"Othon P. Blanco"	"KM. 20 CARRETERA FEDERAL 307."	"NA"		"TRAMO CHETUMAL BACALAR"	"NA"	"NA"	"XUL HA"		77930
"CFEAD2501211"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TERMOELECTRICA JOSE ACEVES POZOS"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	0	0	"23°11'39"""	"106°21'21"""	"SINALOA"	"Mazatlan"	"ESTERO LA SIRENA SN KM 10"	"NA"		"NA"	"NA"	"LA SIRENA"	"MAZATLAN"	"ZONA DE INDUSTRIA AISLADA O PORTURIA"	82089
"CFEAD2600311"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL HIDROELECTRICA MOCUZARI"	"Generacion de energia electrica "	"Generacion de energia electrica por procedimientos no convencionales contaminantes"	"GENERACION DE ENERGIA ELECTRICA"	0	0	"27°13'13"""	"109°6'15"""	"SONORA"	"Alamos"	"CARRETERA A ALAMOS KM. 30"	"SN"						"PRESA ADOLFO RUIZ CORTINEZ"	85776
"CFEAD2601711"	"COMISION FEDERAL DE ELECTRICIDAD"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"	0	0	"30°42'15"""	"112°10'5"""	"SONORA"	"Pitiquito"	"KM. 5 CARRETERA AL DESEMBOQUE"	"NA"		"NA"	"NA"	"INDUSTRIAL"	"CABORCA"	"COLONIA INDUSTRAIL"	83600
"CFEAD2602911"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TERMOELÉCTRICA CARLOS RODRÍGUEZ RIVERO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"27°56'7"""	"0.11°51'46"""	"SONORA"	"Guaymas"	"ARRETERA MEXICO NOGALES KM. 1975"	"SN"				"LAS BATUECAS"	"GUAYMAS"	"SALIDA SUR A UN COSTADO DE CARRETERA MEXICO NOGALES KM. 1975"	85430
"CFEAD2602921"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TERMOELECTRICA GUAYMAS1"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"	0	0	"27°55'33"""	"110°51'58"""	"SONORA"	"Guaymas"	"CERRO DE LAS TORTUGAS SN"	"SN"				"PUNTA ARENA"			85430
"CFEAD2604311"	"COMISION FEDERAL DE ELECTRICIDAD"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"	0	0	"31°15'23"""	"0.11°58'14"""	"SONORA"	"Nogales"	"KM 1.2 DE LA CARRETERA A MICROONDAS"	"NA"	"NA"	"NA"	"NA"	"FRACCIONAMIENTO INDUSTRIAL NUEVO NOGALES"	"NOGALES"	"PARQUE INDUSTRIAL NUEVO NOGALES"	84000
"CFEAD2604711"	"COMISION FEDERAL DE ELECTRICIDAD"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGIA ELÉCTRICA"	331425.187	3311271.838	"29°54'0"""	"112°42'0"""	"SONORA"	"Pitiquito"	"CALLE 36 NTE. FINAL"	"SN"		"NA"	"NA"	"PUERTO LIBERTAD"	"PUERTO DE LA LIBERTAD"		83970
"CFEAD2800311"	"CFE CENTRAL TERMOELECTRICA ALTAMIRA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"22°26'10"""	"0.98°0'34"""	"TAMAULIPAS"	"Altamira"	"DOMICILIO CONOCIDO"	"NA"		"NA"	"NA"	"NA"	"ESTACION COLONIA"		89600
"CFEAD2803311"	"Comision Federal de Electricidad C.T. Emilio Portes Gil"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"	0	0	"25°58'43"""	"98°3'56"""	"TAMAULIPAS"	"Rio Bravo"	"Carretera MatamorosMazatlán Km. 68.5"	"S N"		"Avenida México"	"Brecha 115"	"La Paz"	"Río Bravo"		88990
"CFEAD3018912"	"CFE. Complejo Termoeléctrico Pdte. Adolfo López Mateos Unidad 3 Y 4"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"Generación de Energía Eléctrica"	0	0	"21°8'5"""	"97°19'5"""	"VERACRUZ"	"Tuxpam"	"Km 6 Norte de la Desemb. Río Tuxpan"	"sn"				"Isla Potreros"	"Tuxpan"		92800
"CFEAD3018913"	"C.F.E. Complejo Termoelectrico Pdte. Adolfo López Mateos Unidades 1 y 2"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"Generación de Energía Eléctrica"	2485683	2616441	"21°8'5"""	"97°19'5"""	"VERACRUZ"	"Tuxpam"	"Km 6 al Nte de la Desemb. Río Tuxpan"	"sn"				"Isla Potreros"	"Tuxpan"		92800
"CFEAD3105011"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TERMOELECTRICA MERIDA II"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"20°55'32"""	"89°41'10"""	"YUCATAN"	"Merida"	"CARRETERA MERIDA UMAN POR ANILLO PERIF."	"SN"				"CD. INDUSTRIAL"	"MERIDA"	"CIUDAD INDUSTRIAL DE MERIDA"	97288
"CFEAD3105021"	"COMISION FEDERAL DE ELECTRICIDAD C.T. NACHI COCOM"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"20°58'50"""	"89°35'29"""	"YUCATAN"	"Merida"	20	"SN"				"MAYAPAN"	"MERIDA"		97259
"CFEAD3110211"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL FELIPE CARRILLO PUERTO"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"20°43'5"""	"88°16'9"""	"YUCATAN"	"Valladolid"	"Km.8 CARRETERA VALLADOLID MERIDA"	"NA"							97780
"CFEEA0300121"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TURBOGAS CONSTITUCION"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACIÓN Y TRANSMISIÓN DE ENERGÍA ELÉCTRICA (SÓLO GENERACIÓN; INCLUYE LAS INSTALACIONES"	0	0	"25°1'15"""	"111°40'1"""	"BAJA CALIFORNIA SUR"	"Comondu"	"CARRETERA TRANSPENINSULAR Y ALVAREZ RICO"	"SN"				"CENTRO"	"CD CONSTITUCION"	"CENTRAL TURBOGASCONSTITUCION"	23600
"CFEEA0300311"	"COMISION FEDERAL DE ELECTRICIDAD CENTRAL TERMOELECTRICA PUNTA PRIETA"	"Generacion de energia electrica "	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"	57008459	26785087	"24°15'2"""	"-110°18'1"""	"BAJA CALIFORNIA SUR"	"La Paz"	"CARRETERA LA PAZ A PICHILINGUE"	"KM. 9.5"					"LA PAZ"	"CENTRAL TERMOELECTRICA PUNTA PRIETA"	23000
