"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA
UTM X"	"COORDENADA
UTM Y"	"LATITUD NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"DMC9M2201432"	"DANA DE MEXICO CORPORACION, S. DE R.L. DE C.V.,ENGRANES CONICOS"	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9J"	"Produccion de partes para el sistema de transmision automotriz"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."		"351538.7026"	"2282135.6625"	"20°37'57"""	"100°25'29"""	"Calle ACCESO III"	"7 PTA2 "	" "	"Fraccionamiento INDUSTRIAL BENITO JUAREZ"	"SANTIAGO DE QUERETARO"	"QUERETARO"	"Queretaro"	"76116"
"DMEBF0600911"	"DANISCO MEXICANA, S.A. DE C.V.,DANISCO"	"325999"	"Fabricación de otros productos químicos"	"Quimica"	"5H"	"Produccion de acidos organicos"	"Producción de ingredientes alimenticios de origen vegetal para consumo humano"		"617292.8817"	"2097574.3168"	"18°58'2"""	"103°53'9"""	"Carretera  Colima-Manzanillo"	"km 37 "	" "	"Ninguno Carretera Colima-Manzanillo"	"TECOMAN"	"COLIMA"	"Tecoman"	"28100"
"DME1S1101711"	"DANONE DE MÉXICO S.A. DE C.V.,"	"311513"	"Elaboración de derivados y fermentos lácteos"	"Alimenticio y/o de consumo humano"	"ML"	"Fabricacion de productos lacteos"	"Elaboración de productos lácteos y derivados"		"261025.3676"	"2282427.626"	"20°37'33"""	"101°17'35"""	"Calle AVENIDA IRAPUATO"	"2030 "	" "	"Colonia CIUDAD INDUSTRIAL"	"IRAPUATO"	"GUANAJUATO"	"Irapuato"	"36541"
"DME1102700101"	"DAIKYONISHIKAWA MEXICANA S.A. DE C.V.,DAIKYONISHIKAWA MEXICANA S.A DE C.V"	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"FABRICACIÓN DE OTRAS PARTES PARA VEHÍCULOS AUTOMOTRICES"	"PARQUE INDUSTRIAL SALAMANCA"	"266917.0518"	"2280652.4608"	"20°36'38"""	"101°14'11"""	"Avenida HIROSHIMA"	"1000 "	"2 "		"SALAMANCA"	"GUANAJUATO"	"Salamanca"	"36875"
"DME1505700298"	"DYSTAR DE MEXICO, S DE R.L. DE C.V.,"	"325610"	"Fabricación de jabones, limpiadores y dentífricos"	"Quimica"	"QV"	"Fabricacion de productos quimicos para aseo en general"	"CPRA VTA IMP EXP MEZ ENV  DISTR DE PROD QUIM AUX PARA LA IND TEX SIN VTA DIREC AL PUBL"	"NAUCALPAN"	"476211.0715"	"2153147.3524"	"19°28'21"""	"99°13'36"""	"Calle San Andres Atoto"	"5 5A"	" "		"NAUCALPAN DE JUAREZ"	"MEXICO"	"Naucalpan de Juarez"	"53370"
"DME521502511"	"DL MEDICA SA DE CV,"	"339112"	"Fabricación de material desechable de uso médico"	"Articulos y productos compuestos de diferentes materiales"	"1C"	"Produccion de equipos y/o articulos, medicos y/o quirurgicos"	"FABRICACIÓN DE DISPOSITIVOS MEDICOS"		"512788.319"	"2128168.4586"	"19°14'49"""	"98°52'41"""	"Calle FEBRERO DE 1917"	"S/N "	" "	"Colonia ZONA INDUSTRIAL CHALCO"	"CHALCO DE DIAZ COVARRUBIAS"	"MEXICO"	"Chalco"	"56600"
"DME691102011"	"DIATOR DE MÉXICO S.A. DE C.V.,DIATOR DE MEXICO"	"325999"	"Fabricación de otros productos químicos"	"Quimica"	"69"	"Produccion de grasas, aceites lubricantes y aditivos"	"PRODUCCIÓN DE GRASAS, ACEITES LUBRICANTES Y ADITIVOS (INCLUYE MEZCLAS)."		"227408.3815"	"2335833.4667"	"21°6'12"""	"101°37'26"""	"Calle CURTIDOR"	"520 "	" "	"Colonia FRACC. IND. JULIAN DE OBREGON"	"LEON DE LOS ALDAMA"	"GUANAJUATO"	"Leon"	"37290"
"DME8V1900611"	"DENSO MEXICO S.A. DE C.V., (PLANTA APODACA)"	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"FABRICACIÓN DE OTRAS PARTES PARA VEHÍCULOS AUTOMOTRICES"	"PARQUE INDUSTRIAL MONTERREY"	"383028.8576"	"2850797.2042"	"25°46'14"""	"100°9'59"""	"Calle BOULEVARD PARQUE INDUSTRIAL MONTERREY"	"502 "	" "		"CIUDAD APODACA"	"NUEVO LEON"	"Apodaca"	"66603"
"DMM1409700037"	"DAIDO METAL MÉXICO, S.A. DE C.V.,"	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9J"	"Produccion de partes para el sistema de transmision automotriz"	"PROCESO DE GALVANOPLASTIA PARA LA FABRICACIÓN DE COJINETES METALICOS"		"651006.3439"	"2266194.0282"	"20°29'18"""	"103°33'7"""	"Carretera  SAN ISIDRO MAZATEPEC"	"7105 "	" "	"Pueblo SANTA CRUZ DE LAS FLORES"	"SANTA CRUZ DE LAS FLORES"	"JALISCO"	"Tlajomulco de Zuniga"	"45640"
"DMS121207511"	"DESARROLLOS MINEROS SAN LUIS S.A DE C.V.,UNIDAD MINERA LOS FILOS"	"212221"	"Minería de oro"	"Metalurgica (incluye la siderurgica)"	"12"	"Mineria de oro"	"MINERIA DE ORO"		"427452.2171"	"1975229.8278"	"17°51'49"""	"99°41'5"""	"Calle DOMICILIO CONOCIDO"	"S/N "	" "	"Unidad UNIDAD MINERA LOS FILOS"	"MEZCALA"	"GUERRERO"	"Eduardo Neri"	"40191"
"DMV2604804821"	"DESARROLLO MARINA VALLARTA SA DE CV,HOTEL MAYAN PALACE"	"721111"	"Hoteles con otros servicios integrados"	"Otros"	"AY"	"Servicios de Hotel"	"HOTELERÍA"		"284392.1694"	"3459264.6766"	"31°14'51"""	"113°15'50"""	"Carretera KM. 24 PE¿ASCO-CABORCA"	"S/N "	" "	"Ejido MIRAMAR"	"PUERTO PEÑASCO"	"SONORA"	"Puerto Penasco"	"83566"
"DNM621000711"	"DYNO NOBEL MÉXICO, S.A. DE C.V.,DYNO NOBEL MÉXICO, S.A DE C.V"	"325920"	"Fabricación de explosivos"	"Quimica"	"62"	"Produccion de explosivos"	"FABRICACION Y VENTA DE INICIADORES NO ELECTRICOS PARA VOLADURAS"		"635960.5395"	"2844078.1843"	"25°42'29"""	"103°38'41"""	"Calle CONOCIDO"	"S/N "	" "	"Colonia GOMEZ PALACIO CENTRO"	"GOMEZ PALACIO"	"DURANGO"	"Gomez Palacio"	"35000"
"DOF2800300108"	"DIAVAZ OFFSHORE, S.A.P.I. DE C.V.,ÁREA CONTRACTUAL 1 BARCODÓN (SISTEMA BARCODÓN)"	"211110"	"Extracción de petróleo y gas"	"Petroleo y petroquimica"	"10"	"Extraccion de petroleo y gas natural"	"Extracción de petróleo crudo y a la extracción de hidrocarburos crudos en estado gaseoso"		"606197.3618"	"2497119.5296"	"22°34'39"""	"97°58'1"""	"Calle DOMICILIO CONOCIDO RANCHO EL GUAJOLOTE"	"S/N "	" "	"Ejido AGUA DE CASTILLA (EJIDO)"	"ALTAMIRA"	"TAMAULIPAS"	"Altamira"	"89635"
"DOM7T3013311"	"DRAGADOS OFFSHORE DE MÉXICO, S.A. DE C.V.,DRAGADOS OFFSHORE MÉXICO (PATIO TAMPICO)"	"237999"	"Otras construcciones de ingeniería civil"	"Otros"	"TF"	"Construccion de obras civiles"	"CONSTRUCCIÓN"		"613552.1317"	"2457215.4767"	"22°12'59"""	"97°53'53"""	"Calle CARR. EL PRIETO LOTE 1 Y 2    km 6+300"	"S/N "	" "	"Colonia ANAHUAC"	"ANAHUAC"	"VERACRUZ"	"Pueblo Viejo"	"92035"
"DPA9M2107411"	"DRAEXLMAIER PARTES AUTOMOTRICES DE MEXICO S DE RL DE CV,DRAEXLMAIER PARTES AUTOMOTRICES DE MEXICO"	"336390"	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"Fabricación de otras partes para vehiculos automotrices"	"REAL DE HUEJOTZINGO"	"565458.1934"	"2119925.0854"	"19°10'17"""	"98°22'38"""	"Calle BOULEVARD HUEJOTZINGO-AEROPUERTO"	"3 "	" "		"HUEJOTZINGO"	"PUEBLA"	"Huejotzingo"	"74160"
"DPL6E0503011"	"GT PLASTICS NORTE SAPI DE CV,GT PLASTICS NORTE SAPI DE CV"	"326194"	"Fabricación de otros productos de plástico de uso industrial sin reforzamiento"	"Quimica"	"MA"	"Fabricacion de productos moldeados con diversas resinas "	"326194 Fabricación de otros productos de plástico de uso industrial sin reforzamiento."		"299093.2839"	"2816735.9634"	"25°27'14"""	"100°59'53"""	"Calle PERIFERICO LUIS ECHEVERRIA"	"1280 "	" "	"Colonia LA SALLE"	"SALTILLO"	"COAHUILA"	"Saltillo"	"25240"
"DPM2800300090"	"THE CHEMOURS COMPANY MÉXICO S. DE R.L  DE C.V.,THE CHEMOURS COMPANY MÉXICO S. DE R.L. DE C.V."	"325999"	"Fabricación de otros productos químicos"	"Quimica"	"5J"	"Produccion de colorantes y pigmentos"	"Producción de Productos Químicos"		"616463.7686"	"2471456.9236"	"22°20'42"""	"97°52'8"""	"Avenida  de la Industria"	"KM 14.5 "	" "	"Colonia Laguna de la Puerta"	"ALTAMIRA"	"TAMAULIPAS"	"Altamira"	"89605"
"DPM7L1407011"	"DIAN PROCESOS METALURGICOS S.A. DE C.V.,DIAN PROCESOS METALÚRGICOS S.A. DE C.V."	"331419"	"Fundición y refinación de otros metales no ferrosos"	"Metalurgica (incluye la siderurgica)"	"7L"	"Afinacion y refinacion de otros metales no ferrosos"	"AFINACIÓN Y REFINACIÓN DE OTROS METALES NO FERROSOS POR MEDIO DE FUNDICION"	"CORREDOR INDUSTRIAL EL SALTO"	"683601.0492"	"2266033.8624"	"20°29'2"""	"103°14'22"""	"Carretera  EL SALTO A LA CAPILLA"	"KM 3 "	" "		"LA ALAMEDA"	"JALISCO"	"Tlajomulco de Zuniga"	"45679"
"DQM0900200102"	"DIATOM QUÍMICA MÉXICO, S.A. DE C.V.,DIATOM"	"325180"	"Fabricación de otros productos químicos básicos inorgánicos"	"Quimica"	"5I"	"Produccion de acidos, bases y sales inorganicas"	"Fabricación de productos químicos básicos inorgánicos."		"483073.6664"	"2156236.6488"	"19°30'2"""	"99°9'40"""	"Calle PONIENTE 146"	"688 "	" "	"Colonia INDUSTRIAL VALLEJO"	"AZCAPOTZALCO"	"DISTRITO FEDERAL"	"Azcapotzalco"	"02300"
"DRA5Q3004811"	"DAK RESINAS AMERICAS MEXICO, S.A. DE C.V.,"	"325211"	"Fabricación de resinas sintéticas"	"Quimica"	"5Q"	"Produccion de resinas sinteticas"	"FABRICACION DE RESINAS SINTETICAS"		"330915.0002"	"1994638.2826"	"18°2'1"""	"94°35'50"""	"Carretera PREDIO BUENAVISTA DE TORRES"	"KM29 "	" "	"Colonia BARRANCAS"	"COSOLEACAQUE"	"VERACRUZ"	"Cosoleacaque"	"96345"
"DTI6J0200411"	"DART DE TIJUANA, S. DE R.L. DE C.V.,DART"	"326140"	"Fabricación de espumas y productos de poliestireno"	"Quimica"	"6M"	"Fabricacion de productos de espumas uretanicas"	"Fabricación de espumas y productos de poliestireno, como vasos, platos, bloques aislantes,"		"522400.8471"	"3600813.429"	"32°32'40"""	"116°45'41"""	"Calle Autopista Cuota Tijuana Tecate Km. 138"	"31022 "	" "	"Colonia Valle Redondo"	"TIJUANA"	"BAJA CALIFORNIA"	"Tijuana"	"22330"
"DTM1102700006"	"DAL-TILE MEXICO S DE RL DE CV,"	"327122"	"Fabricación de azulejos y losetas no refractarias"	"Cemento y Cal"	"6R"	"Produccion de articulos ceramicos no estructurales"	"ELABORACIÓN DE PISOS Y RECUBRIMIENTOS"		"269755.4105"	"2270986.349"	"20°31'25"""	"101°12'29"""	"Calle AV. DALTILE"	"100 "	" "	"Colonia PALO BLANCO"	"SALAMANCA"	"GUANAJUATO"	"Salamanca"	"36880"
"DVC0503000075"	"DAIMLER VEHICULOS COMERCIALES MEXICO, S. DE R.L. DE C.V.,FREIGHTLINER"	"336120"	"Fabricación de camiones y tractocamiones"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"Fabricación de tractocamiones"		"282651.4653"	"2793607.3832"	"25°14'35"""	"101°9'28"""	"Carretera  a General Cepeda"	"8395 "	" "	"Ejido Derramadero"	"SALTILLO"	"COAHUILA"	"Saltillo"	"25300"
"DVC9G1901821"	"DAIMLER VEHICULOS COMERCIALES MEXICO, S. DE R.L. DE C.V.,MERCEDES BENZ AUTOBUSES, PLANTA GARCÍA"	"336120"	"Fabricación de camiones y tractocamiones"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"Ensamble de chasis (autobuses)"	"García"	"346685.7085"	"2848342.8917"	"25°44'42"""	"100°31'42"""	"Carretera  A GARCIA KM. 6.1"	"S/N "	"S/N "		"GARCIA"	"NUEVO LEON"	"Garcia"	"66000"
"DVC9L1510111"	"DAIMLER VEHICULOS COMERCIALES MEXICO, S. DE R.L. DE C.V.,DAIMLER VEHÍCULOS COMERCIALES MÉXICO"	"336120"	"Fabricación de camiones y tractocamiones"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"Ensamble de camiones y tractocamiones"		"452139.5624"	"2119406.0807"	"19°10'2"""	"99°27'18"""	"Carretera LA MARQUEZA-TENANGO"	"KM. 23.7 "	" "	"Colonia SANTIAGO TIANGUISTENCO DE GALEANA"	"SANTIAGO TIANGUISTENCO DE GALEANA"	"MEXICO"	"Tianguistenco"	"52600"
"DYN1903900243"	"DYNAKROM, S.A.P.I. DE C.V.,DYNAKROM S.A.P.I. DE C.V. (MONTERREY)"	"325130"	"Fabricación de pigmentos y colorantes sintéticos"	"Quimica"	"5J"	"Produccion de colorantes y pigmentos"	"PRODUCCIÓN DE PIGMENTOS (INCLUYE ORGÁNICOS E INORGÁNICOS)"		"367409.6516"	"2843356.6868"	"25°42'7"""	"100°19'17"""	"Calle INDUSTRIAS PONIENTE 930"	"930 "	". "	"Conjunto habitacional MONTERREY CONJUNTO HABITACIONAL"	"MONTERREY"	"NUEVO LEON"	"Monterrey"	"64260"
"EAALS2800311"	"ELECTRICIDAD AGUILA DE ALTAMIRA, S. DE R.L. DE C.V.,ELECTRICIDAD AGUILA DE ALTAMIRA"	"221110"	"Generación, transmisión y distribución de energía eléctrica"	"Generación de energia electrica"	"AD"	"Generacion y transmision de energia electrica"	"GENERACION DE ENERGIA ELECTRICA"		"612994.3175"	"2488428.7907"	"22°29'54"""	"97°54'5"""	"Calle BOULEVARD DE LOS RIOS"	"KM 10.17 "	" "	"Colonia TERRENOS DE LA ADMINISTRACION PORTUARIA"	"ALTAMIRA"	"TAMAULIPAS"	"Altamira"	"89600"
"EAAMV1900611"	"EQUIPO AUTOMOTRIZ AMERICANA S.A. DE C.V.,JOYSON PLANTA 2"	"336360"	"Fabricación de asientos y accesorios interiores para vehículos automotores"	"Automotriz"	"MV"	"Confeccion de asientos y accesorios de tela de uso automotriz"	"Ensamble de Cinturones de Seguridad para Automoviles"		"378693.2068"	"2854728.1963"	"25°48'20"""	"100°12'36"""	"Avenida PROFESOR HUMBERTO RAMOS LOZANO"	"904 "	"S/N "	"Colonia NA"	"CIUDAD APODACA"	"NUEVO LEON"	"Apodaca"	"66600"
"EAA9M1900611"	"EQUIPO AUTOMOTRIZ AMERICANA S.A. DE C.V.,JOYSON SAFETY SYSTEM"	"339999"	"Otras industrias manufactureras"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"Manufactura de volantes para automoviles incluye fundicion de piezas de Magnesio"	"PARQUE INDUSTRIAL STIVA"	"376152.6637"	"2850825.2189"	"25°46'13"""	"100°14'6"""	"Avenida TLC"	"30 "	" "		"CIUDAD APODACA"	"NUEVO LEON"	"Apodaca"	"66626"
"EAC8E0500211"	"EQUIPOS DE ACUÑA, S.A. DE C.V.,"	"333130"	"Fabricación de maquinaria y equipo para la industria extractiva"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"Fabricación, ensamble y reparación de equipo industrial"	"Parque Industrial Modelo"	"303928.7017"	"3247422.5873"	"29°20'26"""	"101°1'10"""	"Calle Blvd. Graciela"	"S/N "	" "		"CIUDAD ACUÑA"	"COAHUILA"	"Acuna"	"26220"
"EAMBB1407011"	"ECO AMERE, S.A. DE C.V.,"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos"	"Tratamiento de residuos peligrosos"	"M1"	"Otros tratamientos a residuos peligrosos"	"MANEJO DE RESIDUOS PELIGROSOS"	"PARQUE INDUSTRIAL EL SALTO"	"682769.5827"	"2269488.4506"	"20°30'55"""	"103°14'49"""	"Calle 4"	"10599 "	" "		"EL SALTO"	"JALISCO"	"El Salto"	"45680"
"EAM2300500216"	"ENVASADORAS DE AGUAS EN MEXICO S DE RL DE CV,BONAFONT"	"312112"	"Purificación y embotellado de agua"	"Bebidas y tabaco"	"MQ"	"Envasado de aguas purificadas o de manantial"	"Purificación y embotellado de agua"		"515635.4342"	"2330164.6491"	"21°4'20"""	"86°50'58"""	"Boulevard Luis Donaldo Colocio"	"manzana 305 305"	" "	"Colonia ALFREDO V BONFIL"	"ALFREDO V. BONFIL"	"QUINTANA ROO"	"Benito Juarez"	"77560"
"EAM3105000235"	"ENVASADORAS DE AGUAS EN MEXICO S DE RL DE CV,BONAFONT"	"312112"	"Purificación y embotellado de agua"	"Bebidas y tabaco"	"36"	"Produccion de refrescos"	"Purificación y embotellado de agua"		"221869.6619"	"2317304.2392"	"20°56'6"""	"89°40'27"""	"Calle 17 X 14 Y 20"	"346 "	" "	"Ciudad CIUDAD INDUSTRIAL"	"MERIDA"	"YUCATAN"	"Merida"	"97288"
"EAOBB1901611"	"ELÉCTRICA AUTOMOTRIZ OMEGA, S.A. DE C.V.,ELÉCTRICA AUTOMOTRIZ OMEGA"	"331419"	"Fundición y refinación de otros metales no ferrosos"	"Metalurgica (incluye la siderurgica)"	"LJ"	"Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos"	"FUNDICIÓN Y REFINACIÓN DE OTROS METALES NO FERROSOS "	"PARQUE INDUSTRIAL DR. GONZALEZ"	"404469.0165"	"2859936.8693"	"25°51'16"""	"99°57'12"""	"Calle Avenida Parque Industrial "	"S/N "	" "		"DOCTOR GONZALEZ"	"NUEVO LEON"	"Dr. Gonzalez"	"66750"
"EATAD3018911"	"ELECTRICIDAD AGUILA DE TUXPAN, S. DE R.L. DE C.V.,CENTRAL DE CICLO COMBINADO TUXPAN 2"	"221110"	"Generación, transmisión y distribución de energía eléctrica"	"Generación de energia electrica"	"AD"	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"		"682952.2466"	"2305776.8664"	"20°50'34"""	"97°14'30"""	"Carretera KILOMETRO 15.5  LOS KILOMETROS"	"S/N "	"CCC TUXPAN II "	"Pueblo CONGREGACION CHILE FRIO"	"TUXPAM DE RODRIGUEZ CANO"	"VERACRUZ"	"Tuxpam"	"92800"
"EAVAD1103311"	"ENERGIA AZTECA VIII S DE RL DE CV,CENTRAL EL BAJÍO"	"221110"	"Generación, transmisión y distribución de energía eléctrica"	"Generación de energia electrica"	"AD"	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGIA"		"332934.3338"	"2350125.8324"	"21°14'42"""	"100°36'35"""	"Carretera 57 QRO-SLP"	"KM 83.9 "	" "	"Colonia SAN LUIS DE LA PAZ CENTRO"	"SAN LUIS DE LA PAZ"	"GUANAJUATO"	"San Luis de la Paz"	"37900"
"EAXLS0200212"	"ENERGIA AZTECA X SA DE CV,"	"221110"	"Generación, transmisión y distribución de energía eléctrica"	"Generación de energia electrica"	"AD"	"Generacion y transmision de energia electrica"	"GENERACION, TRANSMISION Y SUMINISTRO DE ENERGIA ELECTRICA"		"642224.2388"	"3562597.0318"	"32°11'27"""	"115°29'28"""	"Carretera KM. No. 12 CARRET. FEDERAL MEXICALI-TIJUANA"	"L-45 "	"N/A "	"Colonia PROGRESO"	"PROGRESO"	"BAJA CALIFORNIA"	"Mexicali"	"21610"
"EBCAD0200211"	"ENERGIA DE BAJA CALIFORNIA S DE RL DE CV,"	"221110"	"Generación, transmisión y distribución de energía eléctrica"	"Generación de energia electrica"	"AD"	"Generacion y transmision de energia electrica"	"generacion y transmision de energia electrica"		"628785.3452"	"3608018.1519"	"32°36'7"""	"115°37'39"""	"Carretera MEXICALI-TIJUANA"	"KM 12 L-46"	" "	"Colonia PROGRESO"	"MEXICALI"	"BAJA CALIFORNIA"	"Mexicali"	"21610"
"ECAAD0400712"	"ENERGIA CAMPECHE S.A. DE C.V.,ENERGÍA CAMPECHE"	"221110"	"Generación, transmisión y distribución de energía eléctrica"	"Generación de energia electrica"	"AD"	"Generacion y transmision de energia electrica"	"GENERACIÓN DE ENERGÍA ELÉCTRICA"		"633553.5559"	"1983595.0828"	"17°56'10"""	"91°44'20"""	"Calle CARR. FEDERALNO. 186,TRAMO VILLA HERMOSA"	"KM. 156 "	" "	"Pueblo PALIZADA CENTRO"	"PALIZADA"	"CAMPECHE"	"Palizada"	"24207"
"ECAMB1505711"	"ELI CAMI Y COMPAÑIA S.A.,"	"325190"	"Fabricación de otros productos químicos básicos orgánicos"	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"FABRICACIÓN DE PRODUCTOS QUIMICOS"		"473829.215"	"2155098.3245"	"19°29'25"""	"99°14'57"""	"Calle CALZ. SAN MATEO NOPALA"	"28 "	" "	"Colonia JARDINES DE SAN MATEO"	"NAUCALPAN DE JUAREZ"	"MEXICO"	"Naucalpan de Juarez"	"53240"
"ECARB0200111"	"ENERGIA COSTA AZUL S. DE R. L. DE C.V.,"	"222210"	"Suministro de gas por ductos al consumidor final"	"Petroleo y petroquimica"	"MI"	"Transportacion por ductos de gas natural y otros tipos de gases"	"Recibo, almacenamiento y regasificación de Gas Natural Licuado"		"538723.9042"	"3545170.1428"	"32°2'31"""	"116°35'23"""	"Carretera TIJUANA-ENSENADA KM 81.2"	"S/N "	" "	"Colonia EL SAUZAL"	"EL SAUZAL DE RODRIGUEZ"	"BAJA CALIFORNIA"	"Ensenada"	"22760"
"ECC421701111"	"ECCACIV, S.A. DE C.V.,ECCACIV"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado"	"Otros"	"UB"	"Suministro de servicios de luz, agua, tratamiento de aguas, drenaje ,carga y descarga y ot"	"TRATAMIENTO DE AGUAS RESIDUALES"		"481979.3984"	"2086475.209"	"18°52'12"""	"99°10'15"""	"Carretera CARR. JIUTEPEC-ZAPATA"	"KM. 3.5 "	" "	"Colonia MIGUEL HIDALGO"	"JIUTEPEC"	"MORELOS"	"Jiutepec"	"62556"
"ECC5U1904611"	"ESMALTES Y COLORANTES CERAMICOS SA DE CV,ESMALTES Y COLORANTES CERAMICOS"	"325510"	"Fabricación de pinturas y recubrimientos"	"Pinturas y tintas"	"5U"	"Produccion de pinturas, recubrimientos e impermeabilizantes"	"FABRICACIÓN DE PINTURAS Y RECUBRIMIENTOS"		"374715.7331"	"2847140.148"	"25°44'12"""	"100°14'56"""	"Calle VIA MONTERREY-MATAMOROS"	"601 "	"S/N "	"Colonia LOS MORALES"	"SAN NICOLAS DE LOS GARZA"	"NUEVO LEON"	"San Nicolas de los Garza"	"66480"
"ECE1100700142"	"ECOSISTEMA DE CELAYA SA DE CV,ECCELSA"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado"	"Otros"	"UB"	"Suministro de servicios de luz, agua, tratamiento de aguas, drenaje ,carga y descarga y ot"	"Planta de Tratamiento de Aguas Residuales Municipales de Celaya "		"306213.8449"	"2268998.0667"	"20°30'35"""	"100°51'30"""	"Camino Ponciano Aguilar"	"115 "	" "	"Ninguno PRIMERA  FRACCION DE CRESPO"	"PRIMERA FRACCION DE CRESPO (EL MOLINO)"	"GUANAJUATO"	"Celaya"	"38110"
"ECIAD0803711"	"ENERGIA CHIHUAHUA SA DE CV,"	"221110"	"Generación, transmisión y distribución de energía eléctrica"	"Generación de energia electrica"	"AD"	"Generacion y transmision de energia electrica"	"Generación de Energía Eléctrica"		"359019.8635"	"3467506.3035"	"31°20'0"""	"106°28'54"""	"Calle CARRET. PANAMERICANA"	"KM. 166 "	" "	"Colonia ND"	"JUAREZ"	"CHIHUAHUA"	"Juarez"	"32370"
"ECL912201611"	"ELECTRONICA CLARION, S.A. DE C.V.,"	"334410"	"Fabricación de componentes electrónicos"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ENSAMBLE DE PARTES ELECTRÓNICAS"		"397931.6126"	"2257611.9647"	"20°24'50"""	"99°58'41"""	"Calle Nueve Oriente "	"3 "	" "	"Colonia ZONA INDUSTRIAL VALLE DE ORO "	"SAN JUAN DEL RIO"	"QUERETARO"	"San Juan del Rio"	"76803"
"ECOBB2701212"	"GEOCYCLE MÉXICO, S.A. DE C.V.,GEOCYCLE MEXICO, S.A DE C.V. PLANTA MACUSPANA"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos"	"Tratamiento de residuos peligrosos"	"LY"	"Tratamiento de residuos peligrosos para uso como combustibles alternos"	"FORMULACIÓN DE COMBUSTIBLE ALTERNO"		"558983.759"	"1951726.5882"	"17°39'5"""	"92°26'38"""	"Carretera VILLAHERMOSA-ESCARCEGA"	"KM 68.5 "	" "	"Ejido BUENA VISTA APASCO"	"MACUSPANA"	"TABASCO"	"Macuspana"	"86700"
"ECOBB3008711"	"ECOENTORNO S.A. DE C.V.,"	"488990"	"Otros servicios relacionados con el transporte"	"Otros"	"B0"	"Transporte de carga en general"	"TRANSPORTE DE RESIDUOS PELIGROSOS"		"721648.8021"	"2161050.9768"	"19°31'54"""	"96°53'15"""	"Calle AV. ARAUCARIAS"	"297 "	" "	"Colonia FUENTE DE LAS ANIMAS"	"JALAPA"	"VERACRUZ"	"Xalapa"	"91190"
"ECOBT0600211"	"EMBOTELLADORA DE COLIMA SA DE CV,COCA COLA DE COLIMA"	"312111"	"Elaboración de refrescos y otras bebidas no alcohólicas"	"Bebidas y tabaco"	"36"	"Produccion de refrescos"	"Productor envasador o fabricante de refrescos "		"635483.288"	"2126864.0308"	"19°13'50"""	"103°42'39"""	"Avenida TECOMAN SUR "	"99 "	" "	"Colonia EL MORALETE"	"COLIMA"	"COLIMA"	"Colima"	"28060"
"ECOLY0502711"	"GEOCYCLE MEXICO, S.A. DE C.V.,  (PLANTA RAMOS ARIZPE)"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos"	"Tratamiento de residuos peligrosos"	"LY"	"Tratamiento de residuos peligrosos para uso como combustibles alternos"	"ACOPIO Y RECICLAJE DE RESIDUOS PELIGROSOS"	"ND"	"311685.6303"	"2833707.9143"	"25°36'32"""	"100°52'31"""	"Carretera  SALTILLO-MONTERREY KM. 23.5"	"S/N "	" "		"RAMOS ARIZPE"	"COAHUILA"	"Ramos Arizpe"	"25900"
